,cut,color,clarity,depth,carat,table,x,y,z,price
0,Premium,J,VS2,62.4,1.21,58.0,6.83,6.79,4.25,4268
1,Very Good,H,VS2,63.0,0.32,57.0,4.35,4.38,2.75,505
2,Fair,G,VS1,65.5,0.71,55.0,5.62,5.53,3.65,2686
3,Good,D,SI1,63.8,0.41,56.0,4.68,4.72,3.0,738
4,Ideal,G,SI1,60.5,1.02,59.0,6.55,6.51,3.95,4882
5,Ideal,F,SI2,61.2,1.52,57.0,7.45,7.39,4.54,9057
6,Fair,H,VS2,65.2,1.01,56.0,6.23,6.19,4.05,3733
7,Ideal,J,VS1,62.3,1.52,58.0,7.32,7.35,4.57,8608
8,Ideal,H,VS1,61.8,0.31,54.2,4.33,4.37,2.69,557
9,Ideal,G,SI1,61.7,1.14,56.0,6.71,6.75,4.15,6741
10,Premium,E,SI1,62.3,0.44,59.0,4.88,4.84,3.03,1040
11,Premium,I,SI1,58.0,1.02,58.0,6.84,6.6,3.9,4284
12,Ideal,I,SI2,62.3,0.93,57.0,6.2,6.22,3.87,3101
13,Premium,G,VS1,60.1,1.51,58.0,7.48,7.45,4.49,14507
14,Ideal,H,SI2,61.6,1.65,55.0,7.58,7.62,4.68,10349
15,Good,G,SI2,57.5,1.5,63.0,7.53,7.49,4.32,6006
16,Ideal,D,VS1,62.1,0.43,56.0,4.85,4.87,3.02,1207
17,Premium,G,VS2,60.8,0.38,61.0,4.66,4.65,2.83,983
18,Ideal,I,VS1,61.9,0.85,56.0,6.08,6.1,3.77,3548
19,Premium,D,SI2,60.7,1.53,60.0,7.45,7.41,4.51,11078
20,Premium,H,VS2,61.0,1.54,60.0,7.46,7.42,4.54,11177
21,Premium,G,SI2,62.0,0.71,59.0,5.69,5.65,3.52,1740
22,Very Good,G,VS1,61.7,0.3,56.0,4.29,4.33,2.66,605
23,Ideal,G,IF,61.3,1.3,56.0,7.03,7.06,4.32,12932
24,Premium,G,SI1,62.9,0.3,59.0,4.28,4.24,2.68,574
25,Ideal,I,SI2,61.7,1.0,56.0,6.45,6.41,3.97,2873
26,Premium,G,VS2,61.6,1.0,54.0,6.49,6.46,3.99,6216
27,Premium,D,SI1,61.7,0.9,56.0,6.16,6.09,3.78,3568
28,Very Good,H,SI1,63.2,1.55,57.0,7.35,7.31,4.64,7066
29,Premium,H,SI2,61.1,1.01,60.0,6.46,6.41,3.93,3054
30,Premium,G,SI2,62.5,1.16,58.0,6.72,6.68,4.19,4969
31,Ideal,H,VVS1,62.0,0.35,53.9,4.5,4.53,2.8,743
32,Ideal,H,VVS1,60.4,0.97,57.0,6.4,6.48,3.89,6801
33,Ideal,E,SI2,60.2,1.19,57.0,6.84,6.87,4.13,5717
34,Very Good,H,VS1,62.1,0.7,56.0,5.65,5.68,3.52,2422
35,Very Good,H,SI1,63.2,0.8,54.0,5.93,5.88,3.73,2553
36,Premium,I,SI2,61.3,2.0,59.0,8.13,8.09,4.97,14208
37,Very Good,E,VS2,63.5,0.71,59.0,5.68,5.59,3.58,2858
38,Premium,F,SI1,60.3,1.0,58.0,6.47,6.43,3.89,5292
